step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
148,1770762899.598043,D1,0.502169139,0.418129898,0.361781918,D2,0.139276145
148,1770762899.598043,D2,0.698819216,0.581870102,0.501058063,D2,0.139276145
149,1770762899.698190,D1,0.502359509,0.418063614,0.362532341,D2,0.139604100
149,1770762899.698190,D2,0.699274627,0.581936386,0.502136440,D2,0.139604100
150,1770762899.794663,D1,0.502912469,0.418201210,0.363274592,D2,0.139924013
150,1770762899.794663,D2,0.699648541,0.581798790,0.503198605,D2,0.139924013
151,1770762899.909380,D1,0.503229282,0.418200959,0.364006944,D2,0.140239667
151,1770762899.909380,D2,0.700090010,0.581799041,0.504246611,D2,0.140239667
152,1770762900.000021,D1,0.503549318,0.418147892,0.364728823,D2,0.140552528
152,1770762900.000021,D2,0.700688051,0.581852108,0.505281351,D2,0.140552528
153,1770762900.117694,D1,0.503713264,0.418146333,0.365441057,D2,0.140861258
153,1770762900.117694,D2,0.700920674,0.581853667,0.506302315,D2,0.140861258
154,1770762900.209680,D1,0.503875145,0.418073891,0.366142828,D2,0.141167804
154,1770762900.209680,D2,0.701354734,0.581926109,0.507310632,D2,0.141167804
155,1770762900.301081,D1,0.504006275,0.417954803,0.366833654,D2,0.141473439
155,1770762900.301081,D2,0.701880753,0.582045197,0.508307093,D2,0.141473439
156,1770762900.395186,D1,0.504292841,0.417855457,0.367513945,D2,0.141777648
156,1770762900.395186,D2,0.702566691,0.582144543,0.509291592,D2,0.141777648
157,1770762900.490940,D1,0.504637179,0.417957647,0.368186527,D2,0.142075075
157,1770762900.490940,D2,0.702751134,0.582042353,0.510261602,D2,0.142075075
158,1770762900.585192,D1,0.504978481,0.417942526,0.368849941,D2,0.142368940
158,1770762900.585192,D2,0.703270141,0.582057474,0.511218881,D2,0.142368940
159,1770762900.678269,D1,0.505233222,0.417984148,0.369505063,D2,0.142657777
159,1770762900.678269,D2,0.703504536,0.582015852,0.512162840,D2,0.142657777
160,1770762900.774234,D1,0.505458534,0.417925722,0.370150672,D2,0.142944321
160,1770762900.774234,D2,0.703987327,0.582074278,0.513094993,D2,0.142944321
161,1770762900.880484,D1,0.505885049,0.418043687,0.370789246,D2,0.143223898
161,1770762900.880484,D2,0.704239788,0.581956313,0.514013144,D2,0.143223898
162,1770762900.972160,D1,0.506053168,0.417963052,0.371418230,D2,0.143501898
162,1770762900.972160,D2,0.704707365,0.582036948,0.514920128,D2,0.143501898
163,1770762901.061090,D1,0.506282472,0.417909061,0.372038108,D2,0.143777631
163,1770762901.061090,D2,0.705183178,0.582090939,0.515815739,D2,0.143777631
164,1770762901.162337,D1,0.506591736,0.417869603,0.372649194,D2,0.144050740
164,1770762901.162337,D2,0.705728405,0.582130397,0.516699934,D2,0.144050740
165,1770762901.251862,D1,0.506966129,0.417982713,0.373253641,D2,0.144317191
165,1770762901.251862,D2,0.705921660,0.582017287,0.517570832,D2,0.144317191
166,1770762901.342832,D1,0.507112813,0.417965904,0.373849805,D2,0.144580538
166,1770762901.342832,D2,0.706174701,0.582034096,0.518430342,D2,0.144580538
167,1770762901.434002,D1,0.507422264,0.417940390,0.374437679,D2,0.144841053
167,1770762901.434002,D2,0.706679737,0.582059610,0.519278733,D2,0.144841053
168,1770762901.522423,D1,0.507817042,0.417970946,0.375018123,D2,0.145097281
168,1770762901.522423,D2,0.707140714,0.582029054,0.520115403,D2,0.145097281
169,1770762901.612286,D1,0.508026717,0.417878713,0.375589597,D2,0.145352551
169,1770762901.612286,D2,0.707700960,0.582121287,0.520942149,D2,0.145352551
170,1770762901.702019,D1,0.508182743,0.417802918,0.376152441,D2,0.145606440
170,1770762901.702019,D2,0.708138927,0.582197082,0.521758881,D2,0.145606440
171,1770762901.812754,D1,0.508341752,0.417768978,0.376707329,D2,0.145857848
171,1770762901.812754,D2,0.708459347,0.582231022,0.522565176,D2,0.145857848
172,1770762901.905608,D1,0.508747173,0.417835042,0.377255698,D2,0.146104142
172,1770762901.905608,D2,0.708831826,0.582164958,0.523359840,D2,0.146104142
